Date,GMV,Users,Marketing_Cost,Frontend_Pods,Backend_Pods
2024-01-01,1200000,18000,45000,10,6
2024-01-02,1150000,17500,42000,9,6
2024-01-03,1300000,19500,48000,11,7
2024-01-04,1250000,19000,46000,10,6
2024-01-05,1400000,21000,52000,12,7
2024-01-06,1350000,20500,50000,11,7
2024-01-07,1100000,17000,40000,9,5
2024-01-08,1280000,19200,47000,10,6
2024-01-09,1320000,19800,49000,11,7
2024-01-10,1270000,19100,46500,10,6
2024-01-11,1380000,20700,51000,11,7
2024-01-12,1450000,21800,54000,12,8
2024-01-13,1420000,21300,52500,12,7
2024-01-14,1180000,17800,43000,9,6
2024-01-15,1340000,20100,49500,11,7
2024-01-16,1390000,20900,51500,11,7
2024-01-17,1310000,19700,48500,10,7
2024-01-18,1460000,22000,54500,12,8
2024-01-19,1500000,22500,56000,13,8
2024-01-20,1480000,22200,55000,12,8
2024-01-21,1220000,18400,44000,10,6
2024-01-22,1360000,20400,50500,11,7
2024-01-23,1410000,21200,52000,11,7
2024-01-24,1330000,20000,49000,11,7
2024-01-25,1470000,22100,54800,12,8
2024-01-26,1520000,22800,56500,13,8
2024-01-27,1490000,22400,55500,12,8
2024-01-28,1260000,18900,45500,10,6
2024-01-29,1380000,20700,51000,11,7
2024-01-30,1430000,21500,53000,12,7
2024-01-31,1350000,20300,50000,11,7
2024-02-01,1290000,19400,47500,10,6
2024-02-02,1370000,20600,50800,11,7
2024-02-03,1420000,21300,52500,11,7
2024-02-04,1240000,18700,45000,10,6
2024-02-05,1480000,22200,55000,12,8
2024-02-06,1530000,23000,57000,13,8
2024-02-07,1510000,22700,56000,13,8
2024-02-08,1300000,19500,48000,10,7
2024-02-09,1390000,20900,51500,11,7
2024-02-10,1440000,21600,53500,12,7
2024-02-11,1280000,19200,47000,10,6
2024-02-12,1500000,22500,56000,13,8
2024-02-13,1550000,23300,57500,13,9
2024-02-14,1580000,23700,58500,14,9
2024-02-15,1320000,19800,49000,11,7
2024-02-16,1410000,21200,52000,11,7
2024-02-17,1460000,22000,54500,12,8
2024-02-18,1310000,19700,48500,10,7
2024-02-19,1520000,22800,56500,13,8
2024-02-20,1570000,23600,58000,14,9
2024-02-21,1540000,23100,57000,13,8
2024-02-22,1340000,20100,49500,11,7
2024-02-23,1430000,21500,53000,12,7
2024-02-24,1480000,22200,55000,12,8
2024-02-25,1330000,20000,49000,11,7
2024-02-26,1540000,23100,57000,13,8
2024-02-27,1590000,23900,58800,14,9
2024-02-28,1560000,23400,57500,13,9
2024-02-29,1360000,20400,50500,11,7
2024-03-01,1450000,21800,54000,12,8
2024-03-02,1500000,22500,56000,13,8
2024-03-03,1350000,20300,50000,11,7
2024-03-04,1560000,23400,57500,13,9
2024-03-05,1610000,24200,59500,14,9
2024-03-06,1580000,23700,58500,14,9
2024-03-07,1380000,20700,51000,11,7
2024-03-08,1470000,22100,54800,12,8
2024-03-09,1520000,22800,56500,13,8
2024-03-10,1370000,20600,50800,11,7
2024-03-11,1580000,23700,58500,14,9
2024-03-12,1630000,24500,60500,15,9
2024-03-13,1600000,24000,59000,14,9
2024-03-14,1400000,21000,52000,11,7
2024-03-15,1490000,22400,55500,12,8
2024-03-16,1540000,23100,57000,13,8
2024-03-17,1390000,20900,51500,11,7
2024-03-18,1600000,24000,59000,14,9
2024-03-19,1650000,24800,61000,15,10
2024-03-20,1620000,24300,60000,14,9
2024-03-21,1420000,21300,52500,12,7
2024-03-22,1510000,22700,56000,13,8
2024-03-23,1560000,23400,57500,13,9
2024-03-24,1410000,21200,52000,11,7
2024-03-25,1620000,24300,60000,14,9
2024-03-26,1670000,25100,61500,15,10
2024-03-27,1640000,24600,60500,15,9
2024-03-28,1440000,21600,53500,12,7
2024-03-29,1530000,23000,57000,13,8
2024-03-30,1580000,23700,58500,14,9
2024-03-31,1430000,21500,53000,12,7
2024-04-01,1640000,24600,60500,15,9
2024-04-02,1690000,25400,62000,15,10
2024-04-03,1660000,24900,61000,15,10
2024-04-04,1460000,22000,54500,12,8
2024-04-05,1550000,23300,57500,13,9
2024-04-06,1600000,24000,59000,14,9
2024-04-07,1450000,21800,54000,12,8
2024-04-08,1660000,24900,61000,15,10
2024-04-09,1710000,25700,63000,16,10
2024-04-10,1680000,25200,62000,15,10
2024-04-11,1480000,22200,55000,12,8
2024-04-12,1570000,23600,58000,14,9
2024-04-13,1620000,24300,60000,14,9
2024-04-14,1470000,22100,54800,12,8
2024-04-15,1680000,25200,62000,15,10
2024-04-16,1730000,26000,63500,16,10
2024-04-17,1700000,25500,62500,15,10
2024-04-18,1500000,22500,56000,13,8
2024-04-19,1590000,23900,58800,14,9
2024-04-20,1640000,24600,60500,15,9
2024-04-21,1490000,22400,55500,12,8
2024-04-22,1700000,25500,62500,15,10
2024-04-23,1750000,26300,64000,16,11
2024-04-24,1720000,25800,63000,16,10
2024-04-25,1520000,22800,56500,13,8
2024-04-26,1610000,24200,59500,14,9
2024-04-27,1660000,24900,61000,15,10
2024-04-28,1510000,22700,56000,13,8
2024-04-29,1720000,25800,63000,16,10
2024-04-30,1770000,26600,64500,16,11
2024-05-01,1740000,26100,63500,16,10
2024-05-02,1540000,23100,57000,13,8
2024-05-03,1630000,24500,60500,15,9
2024-05-04,1680000,25200,62000,15,10
2024-05-05,1530000,23000,57000,13,8
2024-05-06,1740000,26100,63500,16,10
2024-05-07,1790000,26900,65000,17,11
2024-05-08,1760000,26400,64000,16,11
2024-05-09,1560000,23400,57500,13,9
2024-05-10,1650000,24800,61000,15,10
2024-05-11,1700000,25500,62500,15,10
2024-05-12,1550000,23300,57500,13,9
2024-05-13,1760000,26400,64000,16,11
2024-05-14,1810000,27200,65500,17,11
2024-05-15,1780000,26700,64500,16,11
2024-05-16,1580000,23700,58500,14,9
2024-05-17,1670000,25100,61500,15,10
2024-05-18,1720000,25800,63000,16,10
2024-05-19,1570000,23600,58000,14,9
2024-05-20,1780000,26700,64500,16,11
2024-05-21,1830000,27500,66000,17,11
2024-05-22,1800000,27000,65000,17,11
2024-05-23,1600000,24000,59000,14,9
2024-05-24,1690000,25400,62000,15,10
2024-05-25,1740000,26100,63500,16,10
2024-05-26,1590000,23900,58800,14,9
2024-05-27,1800000,27000,65000,17,11
2024-05-28,1850000,27800,66500,18,11
2024-05-29,1820000,27300,65500,17,11
2024-05-30,1620000,24300,60000,14,9
2024-05-31,1710000,25700,63000,16,10
2024-06-01,1760000,26400,64000,16,11
2024-06-02,1610000,24200,59500,14,9
2024-06-03,1820000,27300,65500,17,11
2024-06-04,1870000,28100,67000,18,12
2024-06-05,1840000,27600,66000,17,11
2024-06-06,1640000,24600,60500,15,9
2024-06-07,1730000,26000,63500,16,10
2024-06-08,1780000,26700,64500,16,11
2024-06-09,1630000,24500,60500,15,9
2024-06-10,1840000,27600,66000,17,11
2024-06-11,1890000,28400,67500,18,12
2024-06-12,1860000,27900,66500,18,11
2024-06-13,1660000,24900,61000,15,10
2024-06-14,1750000,26300,64000,16,11
2024-06-15,1800000,27000,65000,17,11
2024-06-16,1650000,24800,61000,15,10
2024-06-17,1860000,27900,66500,18,11
2024-06-18,1910000,28700,68000,18,12
2024-06-19,1880000,28200,67000,18,12
2024-06-20,1680000,25200,62000,15,10
2024-06-21,1770000,26600,64500,16,11
2024-06-22,1820000,27300,65500,17,11
2024-06-23,1670000,25100,61500,15,10
2024-06-24,1880000,28200,67000,18,12
2024-06-25,1930000,29000,68500,19,12
2024-06-26,1900000,28500,67500,18,12
2024-06-27,1700000,25500,62500,15,10
2024-06-28,1790000,26900,65000,17,11
2024-06-29,1840000,27600,66000,17,11
2024-06-30,1690000,25400,62000,15,10
2024-07-01,1900000,28500,67500,,,
2024-07-02,1950000,29200,69000,,,
2024-07-03,1920000,28800,68000,,,
2024-07-04,1750000,26300,64000,,,
2024-07-05,1840000,27600,66000,,,
2024-07-10,1960000,29400,69500,,,
2024-07-15,2000000,30000,70000,,,
2024-07-20,2050000,30800,71500,,,
2024-07-25,2100000,31500,73000,,,
2024-07-31,2150000,32300,74500,,,
2024-08-05,2200000,33000,76000,,,
2024-08-10,2250000,33800,77500,,,
2024-08-15,2300000,34500,79000,,,
2024-08-20,2350000,35300,80500,,,
2024-08-25,2400000,36000,82000,,,
2024-08-31,2450000,36800,83500,,,
2024-09-05,2500000,37500,85000,,,
2024-09-10,2550000,38300,86500,,,
2024-09-15,2600000,39000,88000,,,
2024-09-20,2650000,39800,89500,,,
2024-09-25,2700000,40500,91000,,,
2024-09-30,2750000,41300,92500,,,
2024-10-05,2800000,42000,94000,,,
2024-10-10,2850000,42800,95500,,,
2024-10-15,2900000,43500,97000,,,
2024-10-20,2950000,44300,98500,,,
2024-10-25,3000000,45000,100000,,,
2024-10-31,3050000,45800,101500,,,
2024-11-05,3100000,46500,103000,,,
2024-11-10,3150000,47300,104500,,,
2024-11-15,3200000,48000,106000,,,
2024-11-20,3250000,48800,107500,,,
2024-11-25,3300000,49500,109000,,,
2024-11-30,3350000,50300,110500,,,
2024-12-05,3400000,51000,112000,,,
2024-12-10,3450000,51800,113500,,,
2024-12-15,3500000,52500,115000,,,
2024-12-20,3550000,53300,116500,,,
2024-12-25,3600000,54000,118000,,,
2024-12-31,3650000,54800,119500,,,
